SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
3386362,9,2926,12,1,0,0,2018-05-07 11:51:30.92 UTC,Y7C2E2PEXKHA9RSPWHW3
3386366,20,1727,361,1,0,0,2018-01-24 08:20:25.83 UTC,M7EVWMHP861FWAQU493Z
3386470,1,2416,243,1,0.1,0,2018-03-27 07:14:24.91 UTC,UP14J846NV7UKT0M97XA
3386515,18,6,378,1,0,0,2018-03-15 17:49:07.3 UTC,15ELTCU9XOGUH6WTXVIC
3386527,8,3438,260,1,0,0,2018-03-20 15:35:00.55 UTC,VIGVPLS5RRROPSMHEO6S
3386533,7,184,44,1,0,0,2018-02-19 04:05:04.86 UTC,5XUWZJJJO6M12276K0M4
3386559,23,140,10,1,0,0,2018-04-02 10:29:06.66 UTC,QOGQ1TZFGFG3DF13SHAG
3386583,6,2965,329,1,0.2,0,2018-03-14 20:12:59.7 UTC,LDMOVVOV39HWIUVHOI0T
3386592,2,359,200,1,0,0,2018-03-27 07:53:34.17 UTC,7MSWTPEML8GINCT6K34H
3386640,2,952,187,1,0,0,2018-01-29 01:54:43.94 UTC,XBWWJLNNK9MH3JA37MXB
3386651,18,192,380,1,0,0,2018-04-29 22:16:22.56 UTC,PAKNG6XL48CRKFRK9Y1K
3386656,7,3364,60,1,0,0,2018-02-22 15:53:12.7 UTC,RBNFBTJ1GXB94S07UPWT
3386657,2,3524,228,1,0,0,,UK5KEG8JJLJME6XOOV9U
3386725,13,1524,115,1,0.1,0,2018-03-21 02:20:56.32 UTC,UX4RD2NRPN0O2U41UYAQ
3386803,3,844,177,1,0,0,2018-01-30 09:42:55.1 UTC,MOJZ4QLG8RXQVOEKW2TR
3386821,3,233,374,1,0,0,2018-01-19 17:46:18.67 UTC,DQNUDB8LKZVBTT333IMQ
3386844,1,2500,251,1,0,0,2018-02-15 20:41:06.06 UTC,URDJ3UY82LJ6ZSKUMFYC
3386886,19,1171,160,1,0,0,2018-04-25 08:26:48.94 UTC,Y1MXPDR1ZZWHNW1M940S
3386891,21,1599,324,1,0,0,2018-04-28 02:27:41.04 UTC,778KUIX9PLQJ8M6Z9M72
3386981,2,3144,206,1,0,0,2018-01-06 18:08:27.15 UTC,DCF5VIY10LDMAMMLTS8D
3386994,1,140,427,1,0,0,2018-01-04 04:54:38.81 UTC,CLPJ99DGNO91RY5VELBQ
3387003,16,452,232,1,0,0,2018-04-17 21:08:53.97 UTC,SLNAU1ZVCOVMJWK0IHU6
3387005,17,611,423,1,0,0,2018-04-14 09:38:33.68 UTC,EAFDVIBG3ZBBEPHPYMPB
3387052,12,2112,366,1,0.1,0,2018-04-02 14:04:51.97 UTC,1MZSH6OI7H51C8WERACJ
3387055,21,2130,327,1,0,0,2018-05-03 07:07:56.29 UTC,KJW8YSB0FQBWKJMX75VJ
3387083,11,2687,181,1,0.2,0,2018-04-26 12:00:09.28 UTC,0F1C2010V2T7JRZZ8WQB
3387085,15,913,25,1,0,0,2018-03-17 21:25:00.26 UTC,22C1N2KH9OK1EY4VDEJU
3387142,22,2682,67,1,0,0,2018-01-15 00:25:52.95 UTC,2F7RH8C7LLZR7RZ29718
3387165,17,1237,210,1,0,0,2018-03-30 14:16:06.47 UTC,0EMYL57TE379E9HD43L0
3387170,21,2205,335,1,0,0,2018-01-29 04:20:17.13 UTC,O7LVA3ELMFVRYB88DL63
3387172,5,2659,116,1,0,0,2018-01-10 23:15:43.2 UTC,DO9ND3I4V5VYLA1X9PEI
